Anyone can do that.	任何人都可以做到。
At last, she gave in to him and told him the secret.	最後，她對他屈服了，並告訴了他這個秘密。
My dream is to become a pilot.	我的梦想是成为一名飞行员。
Don't be afraid of making mistakes when you speak English.	當你說英語的時候不要怕犯錯。
I like this dog.	我喜欢这只狗。
How much was your new computer?	这台电脑你用多少钱买的？
She prefers beer to wine.	她喜欢啤酒胜过葡萄酒。
What's the problem with your computer?	你的电脑有什么问题？
The whole audience erupted in laughter.	哄堂大笑。
Tom tricked Mary into doing his work for him.	汤姆哄玛丽做他的作业。
Who is the author of this story?	这本小说的作者是谁？
I wrote down his phone number.	我寫下他的電話號碼了。
I smell gas.	我聞到瓦斯味。
I haven't seen you around here before.	我以前在这里没见过你。
This flower is beautiful, isn't it?	這朵花很美，不是嗎？
We're both reasonable people.	我们是两个通情达理的人。
One of my suitcases is missing.	我的其中一个行李不见了。
Which hat is yours?	哪顶帽子是你的？
You're taller than most of Tom's friends.	你比汤姆的大部分朋友都高。
You're a good driver.	你开车很好。
I got off at the wrong station.	我在錯誤的車站下車。
I only wanted to forget.	我只想忘记。
Will you listen to me for a few minutes?	您愿意听我说几分钟话吗？
Stuff happens.	事情难免会发生。
The trees are green.	树是绿的。
I was unable to complete the task.	我無法完成這個任務。
I borrowed Tom's phone this morning.	我今天早上跟Tom借手機。
The old church on the hill dates back to the twelfth century.	山上的老教堂的歷史可以追溯到12世紀。
It's time to take a bath.	是时候洗个澡了。
I usually wear jeans on Sunday.	我星期天通常穿牛仔褲。
Scotland can be very warm in September.	蘇格蘭在9月可以變的很溫暖。
She was surprised that he showed up.	她很驚訝他出現了。
Some babies learn to swim even before they are one year old.	有些宝宝甚至在一岁之前就学习游泳了。
You should be able to manage it.	你应该能解决。
I would like mine rare.	我的牛排要生的。
He is always with me.	他一直与我同在。
Everyone was happy.	每個人都高興。
I often play tennis on Sunday.	我常常在週日打網球。
Tom will return home tomorrow.	汤姆明天回家。
It's raining.	在下雨。
You didn't need to buy the book.	你沒有必要買這本書。
He was late because of the snow.	他因為下雪所以遲到了。
Has something happened?	發生了什麼事嗎？
Tom is wearing gloves.	汤姆戴着手套。
Why are you just sitting there?	你为什么就站在这里？
You are not a doctor.	您不是医生。
I need to take a shower.	我需要洗个澡。
Forewarned is forearmed.	凡事豫則立。
There is only one book on the desk.	桌子上只有一本书。
What's it like being Tom's girlfriend?	做汤姆的女朋友怎么样？
I didn't know the woman at all.	我根本不認識那女人。
Going out in this rain is out of the question.	在雨中走出去是不可能的。
I bought a hat at the store.	我在這家商店買了一頂帽子。
He seems not to be aware of the conflict between my father and me.	他似乎不知道我父亲和我之间的纠葛。
This is a picture of an airport.	這是一張機場的照片。
I'm sorry for the delay in responding.	我很抱歉這麼遲才回復。
It won't take much time.	不會花很多時間的。
He is a bit like his father.	他有点像他的父亲。
I can't explain it either.	我也無法解釋。
I made a long journey last year.	我去年做了一次長途旅行。
There is only one bath towel.	只有一條浴巾。
They were worried.	他们担心。
We are all praying for Japan.	我們全體為日本祈禱。
That was my mistake.	那是我的錯。
When did you immigrate to our country?	你何時移民到我們國家?
We get together once a year.	我們一年聚一次。
You ought to ask him for advice.	你应该向他征求意见。
Tom sat on a tree trunk.	汤姆坐在了树干上。
I want a guitar.	我想要一把吉他。
I can't find my suitcase.	我找不到我的手提箱。
Thank you for the pleasant evening.	謝謝你讓我度過一個愉快的晚上。
He gave it a new name.	他给了它一个新名字。
She knows how to play the guitar.	她知道如何彈吉他。
She is as beautiful as Snow White.	她像白雪公主一樣漂亮。
It's said that she's a well-known actress.	據說她是個知名的女演員。
Action speaks louder than words, but not nearly as often.	行胜于言，但并不是所有情况都是这样。
Asia is much larger than Australia.	亚洲比澳洲大很多。
Tom doesn't remember where he put his keys.	汤姆不记得他把钥匙放在哪里了。
He threw the ball.	他把球扔了。
Tom has no manners.	Tom没有礼貌。
He looks old, but he hasn't reached 30 yet.	他看上去老，但他还不到30岁。
He was brave.	他很勇敢。
This house is mine.	這房子是我的。
Give her the book.	把这本书给她。
I am determined to be a scientist.	我決心要成為一名科學家。
What's today's date?	今天幾號？
She gave the door a gentle push.	她輕輕地推了門。
She stopped to smoke a cigarette.	她停下来抽了根烟。
There is a bus every 20 minutes.	每20分钟有一班车。
Ebola spreads from person to person through bodily fluids.	埃博拉通过体液在人与人之间传播。
We kept our fingers crossed.	我们试图让手指互相交错。
We have the same problem.	你的问题和我的一样。
You may go anywhere.	您可以随便去哪儿。
Put your hands up!	把手举起来！
I'll treat you to sushi.	我會請你吃壽司。
Men can not exist without air.	没有空气，人无法存在。
The bath is ready.	浴缸已經準備好了。
I can hope for a miracle, can't I?	我能期待奇迹，不能吗？
It'll definitely rain.	绝对将要下雨。
This dog eats almost anything.	這隻狗幾乎吃任何東西。
They buried him in the graveyard by the church.	他們把他埋葬在教堂旁的墓園。
You should apologize for your rudeness.	您该为您的粗鲁道歉。
You should take up golf.	你应该开始从事高尔夫。
